Year Month Day Hour Minute Second Lon lat Raw_mag Diurnal Raw_mag-Diurnal
2014.0000 8.0000 31.0000 17.0000 46.0000 39.2424 -140.0012 75.8161 57694.6597 -53.7644 57748.4
2014.0000 8.0000 31.0000 17.0000 47.0000 49.0339 -140.0030 75.8163 57693.9848 -54.7617 57748.7
2014.0000 8.0000 31.0000 17.0000 48.3915 35.8569 -140.0048 75.8164 57693.2806 -55.7065 57749
2014.0000 8.0000 31.0000 17.0000 50.0000 10.9921 -140.0066 75.8164 57692.4663 -56.5918 57749.1
2014.0000 8.0000 31.0000 17.0000 51.0000 14.1991 -140.0084 75.8165 57691.5990 -57.3457 57748.9
2014.0000 8.0000 31.0000 17.0000 52.0000 18.2739 -140.0102 75.8165 57690.6506 -58.0600 57748.7
2014.0000 8.0000 31.0000 17.0000 53.0000 17.8110 -140.0120 75.8166 57689.8174 -58.6740 57748.5
2014.0000 8.0000 31.0000 17.0000 54.0000 18.3747 -140.0138 75.8166 57689.1096 -59.2863 57748.4
2014.0000 8.0000 31.0000 17.0000 55.0000 20.2014 -140.0157 75.8167 57688.6359 -59.8926 57748.5
2014.0000 8.0000 31.0000 17.0000 56.0000 25.4410 -140.0175 75.8167 57688.2872 -60.5134 57748.8
2014.0000 8.0000 31.0000 17.0000 57.0000 30.3597 -140.0193 75.8167 57687.9907 -61.0987 57749.1
2014.0000 8.0000 31.0000 17.0000 58.0000 37.1820 -140.0211 75.8168 57687.8015 -61.6628 57749.5
2014.0000 8.0000 31.0000 17.0000 59.0000 39.7683 -140.0229 75.8168 57687.6581 -62.1469 57749.8
2014.0000 8.0000 31.0000 18.0000 0.0000 42.1579 -140.0247 75.8169 57687.6232 -62.5635 57750.2
2014.0000 8.0000 31.0000 18.0000 1.0000 45.3786 -140.0266 75.8169 57687.6730 -62.9215 57750.6
2014.0000 8.0000 31.0000 18.0000 2.0000 43.6672 -140.0284 75.8169 57687.8112 -63.2030 57751
2014.0000 8.0000 31.0000 18.0000 3.0000 44.5749 -140.0302 75.8170 57688.0450 -63.4676 57751.5
2014.0000 8.0000 31.0000 18.0000 4.0000 46.1990 -140.0320 75.8170 57688.2934 -63.7111 57752
2014.0000 8.0000 31.0000 18.0000 5.0000 44.8760 -140.0338 75.8170 57688.5834 -63.9048 57752.5
2014.0000 8.0000 31.0000 18.0000 6.0000 44.5992 -140.0357 75.8171 57688.9177 -64.0565 57753
2014.0000 8.0000 31.0000 18.0000 7.0000 41.5573 -140.0375 75.8171 57689.2281 -64.1811 57753.4
2014.0000 8.0000 31.0000 18.0000 8.0000 36.0957 -140.0393 75.8171 57689.6559 -64.3088 57754
2014.0000 8.0000 31.0000 18.0000 9.0000 31.6096 -140.0411 75.8172 57690.1309 -64.4404 57754.6
2014.0000 8.0000 31.0000 18.0000 10.0000 23.6462 -140.0429 75.8171 57690.6062 -64.5489 57755.2
2014.0000 8.0000 31.0000 18.0000 11.0000 15.6180 -140.0447 75.8170 57691.0625 -64.6698 57755.7
2014.0000 8.0000 31.0000 18.0000 12.0000 7.6723 -140.0465 75.8170 57691.5881 -64.7954 57756.4
2014.0000 8.0000 31.0000 18.0000 12.2113 46.3197 -140.0483 75.8169 57692.1266 -64.9156 57757
2014.0000 8.0000 31.0000 18.0000 13.0000 48.6345 -140.0502 75.8169 57692.6587 -65.0338 57757.7
2014.0000 8.0000 31.0000 18.0000 14.0608 47.9148 -140.0520 75.8169 57693.2271 -65.2018 57758.4
2014.0000 8.0000 31.0000 18.0000 16.0000 14.3126 -140.0538 75.8170 57693.8107 -65.4868 57759.3
2014.0000 8.0000 31.0000 18.0000 17.0000 10.3948 -140.0556 75.8170 57694.3461 -65.7089 57760.1
2014.0000 8.0000 31.0000 18.0000 17.0000 47.5682 -140.0573 75.8172 57694.8999 -65.8503 57760.8
2014.0000 8.0000 31.0000 18.0000 18.0000 21.1980 -140.0589 75.8174 57695.5214 -65.9768 57761.5
2014.0000 8.0000 31.0000 18.0000 18.0913 50.4524 -140.0605 75.8176 57696.1086 -66.1018 57762.2
2014.0000 8.0000 31.0000 18.0000 19.0000 29.2000 -140.0622 75.8178 57696.6975 -66.2215 57762.9
2014.0000 8.0000 31.0000 18.0000 19.7359 18.4802 -140.0640 75.8179 57697.2670 -66.3428 57763.6
2014.0000 8.0000 31.0000 18.0000 20.0000 39.8730 -140.0658 75.8180 57697.8490 -66.4792 57764.3
2014.0000 8.0000 31.0000 18.0000 21.0000 18.5731 -140.0676 75.8181 57698.4084 -66.6267 57765
